iter	Passed	Remaining
409	4770	1629
410	4790	1620
411	4807	1610
412	4825	1600
413	4842	1590
414	4861	1581
415	4878	1571
416	4894	1561
417	4909	1550
418	4926	1540
419	4942	1529
420	4960	1519
421	4976	1509
422	4993	1499
423	5010	1488
424	5028	1479
425	5045	1468
426	5063	1458
427	5081	1448
428	5099	1438
429	5118	1428
430	5138	1418
431	5159	1409
432	5180	1399
433	5199	1389
434	5219	1379
435	5238	1369
436	5257	1359
437	5272	1348
438	5292	1338
439	5310	1327
440	5327	1316
441	5342	1305
442	5355	1293
443	5372	1282
444	5391	1272
445	5410	1261
446	5426	1250
447	5443	1239
448	5462	1228
449	5480	1217
450	5498	1207
451	5514	1195
452	5532	1184
453	5550	1173
454	5569	1162
455	5600	1154
456	5645	1148
457	5690	1143
458	5720	1134
459	5751	1125
460	5776	1115
461	5799	1104
462	5822	1094
463	5845	1083
464	5869	1072
465	5893	1062
466	5924	1052
467	5950	1042
468	5976	1032
469	6000	1021
470	6025	1010
471	6047	999
472	6069	988
473	6092	976
474	6115	965
475	6141	954
476	6165	943
477	6186	931
478	6203	919
479	6223	907
480	6243	895
481	6266	884
482	6287	872
483	6306	860
484	6325	847
485	6342	835
486	6359	822
487	6379	810
488	6397	798
489	6417	785
490	6442	774
491	6465	762
492	6491	750
493	6515	738
494	6530	725
495	6551	713
496	6573	700
497	6591	688
498	6610	675
499	6629	662
500	6647	650
501	6668	637
502	6684	624
503	6701	611
504	6718	598
505	6736	585
506	6756	572
507	6775	560
508	6795	547
509	6815	534
510	6837	521
511	6859	509
512	6879	496
513	6899	483
514	6915	470
515	6934	456
516	6955	443
517	6974	430
518	6992	417
519	7010	404
520	7030	391
521	7050	378
522	7070	364
523	7090	351
524	7109	338
525	7128	325
526	7149	312
527	7169	298
528	7193	285
529	7216	272
530	7238	258
531	7251	245
532	7274	232
533	7290	218
534	7310	204
535	7332	191
536	7354	178
537	7373	164
538	7392	150
539	7411	137
540	7429	123
541	7447	109
542	7465	96
543	7486	82
544	7504	68
545	7525	55
546	7549	41
547	7566	27
548	7587	13
549	7607	0
